id,umkm_id,type,amount,note,occurred_at,product_name
TRX038,UMKM006,1,1018000.0,OVO,2022-03-31 08:23:03,Desain Feed Instagram
TRX039,UMKM007,0,347000.0,,2022-12-23 21:31:04,Nebulizer
TRX040,UMKM007,0,50000.0,Tunai,2022-06-07 21:31:04,Facial Wajah
TRX041,UMKM007,1,414000.0,Dana,2022-02-15 21:31:04,Cek Gula Darah
TRX042,UMKM007,0,348000.0,Cash,2021-05-04 21:31:04,Jamu Beras Kencur
TRX044,UMKM008,0,1008000.0,Cash,2022-01-21 19:41:24,Sewa Gedung Event
TRX045,UMKM009,0,556000.0,Transfer BNI,2023-10-04 07:17:31,Kursus Python Pemula
TRX046,UMKM009,1,458000.0,OVO,2022-06-27 07:17:31,Kursus Python Pemula
TRX047,UMKM009,1,91000.0,Pembayaran tunai,2023-03-10 07:17:31,Kursus Python Pemula
TRX048,UMKM009,0,1322000.0,Cash,2023-01-27 07:17:31,Kursus Memasak
TRX049,UMKM009,1,362000.0,Gopay,2022-04-29 07:17:31,Buku TOEFL
TRX050,UMKM009,0,538000.0,Cash,2021-12-22 07:17:31,Bimbel Bahasa Inggris
TRX051,UMKM010,1,617000.0,Transfer BRI,2022-09-07 22:38:20,Desain Feed Instagram
TRX052,UMKM010,1,2039000.0,Gopay,2023-03-01 22:38:20,Desain Undangan
TRX053,UMKM010,0,2842000.0,Cash,2023-05-15 22:38:20,Editing Video
TRX054,UMKM010,1,568000.0,Transfer BRI,2023-08-01 22:38:20,Desain Feed Instagram
TRX055,UMKM010,0,2410000.0,Transfer Mandiri,2023-01-01 22:38:20,Servis Mesin Cuci
TRX056,UMKM010,0,992000.0,Transfer Mandiri,2023-02-09 22:38:20,Desain Banner
TRX057,UMKM010,1,2004000.0,Dana,2023-04-14 22:38:20,Desain Feed Instagram
TRX058,UMKM010,1,2965000.0,Dana,2022-01-14 22:38:20,Desain Undangan
TRX059,UMKM010,1,1149000.0,Dana,2023-02-15 22:38:20,Desain Undangan
TRX060,UMKM010,0,1610000.0,Transfer BNI,2022-04-27 22:38:20,Desain Banner
TRX061,UMKM011,0,90000.0,,2024-10-31 02:56:43,Paket Prasmanan
TRX062,UMKM011,1,63000.0,Transfer BCA,2024-10-13 02:56:43,Pecel Lele
TRX063,UMKM011,1,88000.0,Transfer BRI,2023-10-22 02:56:43,Pudding Coklat
TRX064,UMKM011,1,164000.0,,2025-02-27 02:56:43,Pecel Lele
TRX065,UMKM011,0,60000.0,Cash,2023-11-21 02:56:43,Jus Alpukat
TRX066,UMKM011,1,18000.0,Transfer BRI,2024-10-16 02:56:43,Pudding Coklat
TRX067,UMKM011,0,164000.0,Cash,2024-03-14 02:56:43,Paket Nasi Box
TRX068,UMKM011,1,299000.0,Pembayaran tunai,2024-01-26 02:56:43,Pudding Coklat
TRX069,UMKM011,1,197000.0,Transfer BRI,2024-07-16 02:56:43,Pudding Coklat
TRX070,UMKM011,1,208000.0,,2025-02-21 02:56:43,Pudding Coklat
TRX071,UMKM012,0,111000.0,,2022-03-13 21:22:52,Ubi Jalar
TRX072,UMKM012,0,48000.0,Cash,2021-11-01 21:22:52,Cangkul Baja
TRX073,UMKM012,0,134000.0,,2022-02-19 21:22:52,Selai Nanas
TRX074,UMKM012,0,62000.0,Cash,2022-12-16 21:22:52,Singkong Segar
TRX075,UMKM012,1,164000.0,,2021-12-03 21:22:52,Bibit Cabai Rawit
TRX076,UMKM013,0,1451000.0,Transfer Mandiri,2022-02-25 10:20:14,Buku Motivasi
TRX077,UMKM013,1,1279000.0,,2022-08-29 10:20:14,Kursus Editing Video
TRX078,UMKM013,0,297000.0,Tunai,2022-07-10 10:20:14,Les Privat Matematika
TRX079,UMKM013,0,1209000.0,,2023-07-06 10:20:14,Kursus Menjahit
TRX080,UMKM013,1,134000.0,Transfer BRI,2023-07-19 10:20:14,Kursus Editing Video
TRX081,UMKM013,0,761000.0,Tunai,2023-03-15 10:20:14,Buku Resep Masakan
TRX082,UMKM013,0,1141000.0,Cash,2023-01-08 10:20:14,Les Piano
TRX084,UMKM014,1,1404000.0,,2023-12-20 17:09:54,Bimbel Bahasa Inggris
TRX086,UMKM014,0,191000.0,Transfer Mandiri,2023-02-14 17:09:54,Kursus Menjahit
TRX087,UMKM014,1,1086000.0,OVO,2023-11-14 17:09:54,Bimbel SBMPTN
TRX088,UMKM014,0,1376000.0,-,2023-02-27 17:09:54,Bimbel Bahasa Inggris
TRX089,UMKM014,1,748000.0,,2024-07-07 17:09:54,Pelatihan Sales
TRX090,UMKM015,1,203000.0,OVO,2024-09-09 09:45:22,Aplikasi Kasir UMKM
TRX091,UMKM015,0,3541000.0,Transfer Mandiri,2025-04-17 09:45:22,Platform E-commerce
TRX092,UMKM015,1,4115000.0,,2024-02-29 09:45:22,Instalasi CCTV
TRX093,UMKM015,1,964000.0,Transfer BCA,2024-04-10 09:45:22,Instalasi CCTV
TRX094,UMKM015,1,3651000.0,Dana,2024-07-02 09:45:22,Instalasi CCTV
TRX095,UMKM016,0,195000.0,-,2023-07-15 03:42:17,Pupuk NPK Mutiara
TRX097,UMKM016,0,88000.0,Tunai,2023-11-12 03:42:17,Traktor Mini
TRX098,UMKM016,1,232000.0,Dana,2025-03-26 03:42:17,Tepung Mocaf
TRX100,UMKM016,1,277000.0,,2024-03-16 03:42:17,Bibit Semangka
TRX101,UMKM016,0,148000.0,Tunai,2025-01-30 03:42:17,Bibit Padi Ciherang
TRX122,UMKM018,1,968000.0,Transfer BRI,2023-08-23 03:51:19,Editing Video
TRX123,UMKM018,0,1553000.0,Transfer Mandiri,2023-01-21 03:51:19,Desain Feed Instagram
TRX124,UMKM018,0,1158000.0,Transfer BNI,2022-07-25 03:51:19,Servis AC Split
TRX125,UMKM018,0,1494000.0,Tunai,2022-07-01 03:51:19,Paket Pernikahan
TRX126,UMKM018,0,1245000.0,,2023-05-05 03:51:19,Paket Ulang Tahun
TRX127,UMKM018,1,2541000.0,Transfer BRI,2022-07-11 03:51:19,Konsultasi Hukum
TRX128,UMKM019,0,384000.0,Tunai,2024-01-07 08:52:51,Anting Resin
TRX129,UMKM019,1,475000.0,,2024-03-19 08:52:51,Bando Kain
TRX130,UMKM019,1,166000.0,OVO,2023-09-22 08:52:51,Bando Kain
TRX131,UMKM019,1,309000.0,-,2024-07-06 08:52:51,Bando Kain
TRX132,UMKM019,1,30000.0,Transfer BCA,2025-04-14 08:52:51,Bando Kain
TRX133,UMKM019,1,289000.0,Transfer BCA,2025-02-08 08:52:51,Lampu Rotan
TRX134,UMKM020,1,102000.0,Dana,2023-06-17 20:31:07,Paket Prasmanan
TRX135,UMKM020,1,48000.0,,2023-05-04 20:31:07,Es Teh Manis
TRX136,UMKM020,1,128000.0,Transfer BRI,2023-03-31 20:31:07,Es Teh Manis
TRX137,UMKM020,1,213000.0,Pembayaran tunai,2022-12-24 20:31:07,Catering Kantor
TRX138,UMKM020,1,255000.0,,2024-02-18 20:31:07,Es Teh Manis
TRX140,UMKM020,1,128000.0,Transfer BRI,2024-04-17 20:31:07,Es Teh Manis
TRX141,UMKM020,0,248000.0,Tunai,2022-09-11 20:31:07,Lontong Sayur
TRX142,UMKM020,1,256000.0,OVO,2024-05-01 20:31:07,Es Teh Manis
TRX143,UMKM020,1,234000.0,Transfer BCA,2022-09-28 20:31:07,Catering Pernikahan
TRX144,UMKM020,1,13000.0,-,2022-09-06 20:31:07,Paket Prasmanan
TRX145,UMKM020,1,52000.0,Pembayaran tunai,2022-09-15 20:31:07,Paket Prasmanan
TRX146,UMKM020,1,155000.0,,2024-04-01 20:31:07,Catering Pernikahan
TRX147,UMKM020,1,118000.0,Gopay,2024-03-08 20:31:07,Es Teh Manis
TRX148,UMKM020,0,212000.0,Transfer BNI,2022-08-29 20:31:07,Rendang Padang
TRX149,UMKM020,1,129000.0,,2023-04-13 20:31:07,Es Teh Manis
TRX150,UMKM020,0,161000.0,,2023-08-14 20:31:07,Opak Angin
TRX152,UMKM021,0,3976000.0,Transfer BNI,2022-01-10 21:19:18,App Mobile Android
TRX153,UMKM021,1,4634000.0,Dana,2022-03-04 21:19:18,Aplikasi Absensi
TRX154,UMKM021,1,4449000.0,Dana,2022-03-29 21:19:18,Aplikasi Inventory
TRX155,UMKM021,0,2916000.0,Cash,2021-09-07 21:19:18,Aplikasi Absensi
TRX156,UMKM022,1,485000.0,Gopay,2024-01-01 16:57:27,Polo Shirt Pria
TRX157,UMKM022,1,813000.0,OVO,2024-02-17 16:57:27,Atasan Motif
TRX158,UMKM022,0,613000.0,Tunai,2022-10-04 16:57:27,Setelan Anak Lucu
TRX160,UMKM022,1,410000.0,Gopay,2022-07-14 16:57:27,Tunik Polos
TRX161,UMKM022,0,769000.0,Cash,2023-08-18 16:57:27,Gamis Syari
TRX162,UMKM022,1,514000.0,Dana,2023-01-23 16:57:27,Anting Mutiara
TRX164,UMKM022,0,363000.0,Transfer Mandiri,2022-10-01 16:57:27,Ikat Pinggang Pria
TRX165,UMKM023,1,564000.0,-,2022-04-20 01:23:31,Driver Harian
TRX167,UMKM023,1,297000.0,Gopay,2022-04-24 01:23:31,Paket Umroh
TRX168,UMKM023,0,1527000.0,,2022-11-22 01:23:31,Last Mile Delivery
TRX170,UMKM023,1,696000.0,OVO,2022-11-07 01:23:31,Antar Jemput Sekolah
TRX171,UMKM024,0,589000.0,Tunai,2021-11-23 08:41:30,Desain Banner
TRX172,UMKM024,0,2294000.0,Tunai,2022-05-30 08:41:30,Desain Feed Instagram
TRX173,UMKM024,1,2926000.0,Gopay,2023-05-10 08:41:30,Konsultasi Hukum
TRX174,UMKM024,1,858000.0,Transfer BCA,2022-11-05 08:41:30,Konsultasi Hukum
TRX175,UMKM024,1,884000.0,OVO,2021-09-02 08:41:30,Konsultasi Hukum
TRX176,UMKM024,0,986000.0,Transfer Mandiri,2021-09-23 08:41:30,Servis AC Split
TRX177,UMKM024,0,2083000.0,,2022-10-18 08:41:30,Paket Pernikahan
TRX178,UMKM024,1,1232000.0,Transfer BCA,2021-07-28 08:41:30,Konsultasi Bisnis
TRX179,UMKM024,1,2514000.0,,2022-03-01 08:41:30,Konsultasi Pajak
TRX180,UMKM025,1,1606000.0,Pembayaran tunai,2023-06-22 17:06:16,Sewa Pickup
TRX181,UMKM025,0,1124000.0,Cash,2024-04-03 17:06:16,Sewa Minibus
TRX182,UMKM025,0,1272000.0,,2023-06-21 17:06:16,Sewa Mobil Harian
TRX183,UMKM025,1,629000.0,Gopay,2025-02-07 17:06:16,Sewa Motor Harian
TRX184,UMKM025,1,255000.0,Transfer BRI,2024-05-03 17:06:16,Sewa Truk
TRX185,UMKM026,0,895000.0,Transfer BNI,2025-10-29 16:07:46,Desain Feed Instagram
TRX186,UMKM026,1,1313000.0,,2025-01-01 16:07:46,Konsultasi Keuangan
TRX187,UMKM026,1,1031000.0,,2024-04-26 16:07:46,Konsultasi Keuangan
TRX188,UMKM026,0,1578000.0,Transfer Mandiri,2024-09-20 16:07:46,Konsultasi Hukum
TRX189,UMKM026,0,834000.0,Transfer BNI,2025-07-02 16:07:46,Servis Laptop
TRX208,UMKM028,1,184000.0,Dana,2022-11-13 11:03:30,Selai Nanas
TRX209,UMKM028,0,104000.0,Tunai,2021-05-03 11:03:30,Selai Nanas
TRX210,UMKM028,1,36000.0,Gopay,2022-02-21 11:03:30,Selai Nanas
TRX211,UMKM028,1,139000.0,Transfer BRI,2021-09-29 11:03:30,Selai Nanas
TRX212,UMKM029,0,4013000.0,,2022-09-12 06:48:50,Smart Lock Pintu
TRX213,UMKM029,1,1034000.0,,2023-03-31 06:48:50,Setup Server
TRX214,UMKM029,0,635000.0,Transfer Mandiri,2023-01-04 06:48:50,Kamera IP CCTV
TRX215,UMKM029,0,3382000.0,Transfer BNI,2022-02-03 06:48:50,Platform E-commerce
TRX216,UMKM029,1,4128000.0,Dana,2023-02-13 06:48:50,Instalasi CCTV
TRX217,UMKM029,1,706000.0,Transfer BCA,2022-04-02 06:48:50,Aplikasi Absensi
TRX220,UMKM030,1,376000.0,Pembayaran tunai,2023-05-25 07:16:01,Miniatur Rumah Kayu
TRX221,UMKM030,1,52000.0,,2022-12-28 07:16:01,Miniatur Rumah Kayu
TRX222,UMKM030,1,102000.0,,2023-06-13 07:16:01,Miniatur Rumah Kayu
TRX223,UMKM031,1,711000.0,,2024-08-03 16:05:53,Gathering Perusahaan
TRX224,UMKM031,0,2405000.0,Transfer Mandiri,2023-11-23 16:05:53,Seminar Nasional
TRX225,UMKM031,1,1344000.0,Dana,2024-01-30 16:05:53,Gathering Perusahaan
TRX226,UMKM031,1,448000.0,Pembayaran tunai,2023-07-18 16:05:53,Gathering Perusahaan
TRX227,UMKM031,1,1116000.0,Transfer BCA,2024-02-21 16:05:53,Event Launching Produk
TRX228,UMKM031,1,585000.0,Dana,2023-06-30 16:05:53,Paket Pernikahan
TRX229,UMKM031,0,2385000.0,Transfer BNI,2024-01-05 16:05:53,Konsultasi Hukum
TRX230,UMKM031,1,1804000.0,Dana,2024-06-25 16:05:53,Gathering Perusahaan
TRX231,UMKM032,1,4983000.0,OVO,2023-08-30 11:35:37,Aplikasi Absensi
TRX234,UMKM032,1,3216000.0,Dana,2023-03-13 11:35:37,App Mobile Android
TRX235,UMKM033,1,255000.0,Transfer BCA,2024-09-10 16:39:27,Gelang Manik Handmade
TRX236,UMKM033,1,490000.0,Pembayaran tunai,2025-08-24 16:39:27,Gelang Manik Handmade
TRX237,UMKM033,0,251000.0,,2025-03-28 16:39:27,Kursi Pallet Bekas
TRX238,UMKM033,1,177000.0,,2025-08-04 16:39:27,Gelang Manik Handmade
TRX239,UMKM033,0,465000.0,Tunai,2024-09-13 16:39:27,Tumbler Sablon
TRX240,UMKM033,0,326000.0,Tunai,2024-03-22 16:39:27,Miniatur Rumah Kayu
TRX241,UMKM034,0,3612000.0,,2021-10-21 03:38:53,Laptop Refurbished
TRX242,UMKM034,0,2601000.0,,2022-07-04 03:38:53,App Mobile Android
TRX243,UMKM034,1,4758000.0,Transfer BRI,2021-06-07 03:38:53,Software Akuntansi
TRX244,UMKM034,0,593000.0,Cash,2022-04-14 03:38:53,PC Rakitan
TRX245,UMKM034,1,912000.0,OVO,2023-02-05 03:38:53,Software Akuntansi
TRX246,UMKM034,0,1802000.0,Cash,2022-09-09 03:38:53,PC Rakitan
TRX247,UMKM034,0,1828000.0,Transfer Mandiri,2021-12-26 03:38:53,Pembuatan Website
TRX248,UMKM034,1,2267000.0,Transfer BCA,2021-12-12 03:38:53,App Pemesanan Online
TRX249,UMKM035,1,726000.0,,2023-05-27 02:07:04,Kalung Emas Muda
TRX250,UMKM035,0,133000.0,Transfer Mandiri,2022-09-24 02:07:04,Celana Panjang Pria
TRX251,UMKM035,1,210000.0,Transfer BCA,2023-02-15 02:07:04,Kalung Emas Muda
TRX253,UMKM035,1,227000.0,,2022-08-24 02:07:04,Tas Kulit Mini
TRX254,UMKM035,0,615000.0,Cash,2023-01-13 02:07:04,Gamis Syari
TRX255,UMKM035,0,126000.0,Cash,2022-12-05 02:07:04,Celana Pendek Anak
TRX256,UMKM035,0,210000.0,,2024-03-06 02:07:04,Sandal Casual
TRX257,UMKM035,1,52000.0,Dana,2023-10-05 02:07:04,Kalung Emas Muda
TRX258,UMKM035,1,468000.0,Pembayaran tunai,2023-12-10 02:07:04,Kalung Emas Muda
TRX259,UMKM036,0,7881000.0,Tunai,2024-11-08 21:31:31,Kost Eksklusif
TRX260,UMKM036,0,8199000.0,,2024-11-07 21:31:31,Cat Ulang Rumah
TRX261,UMKM036,1,5271000.0,Pembayaran tunai,2023-11-14 21:31:31,Kost Harian
TRX262,UMKM037,1,116000.0,OVO,2023-01-04 02:33:08,Bimbel UN SD
TRX263,UMKM037,1,524000.0,,2021-11-02 02:33:08,Workshop Fotografi
TRX264,UMKM037,1,640000.0,,2022-11-20 02:33:08,Kursus Desain Canva
TRX265,UMKM037,0,1497000.0,,2021-07-27 02:33:08,Les Piano
TRX267,UMKM037,1,1489000.0,Transfer BRI,2021-11-28 02:33:08,Kursus Desain Canva
TRX268,UMKM038,0,465000.0,Transfer Mandiri,2023-12-28 01:43:25,Gantungan Kunci Custom
TRX269,UMKM038,1,257000.0,Transfer BCA,2024-08-27 01:43:25,Kotak Perhiasan Kayu
TRX270,UMKM038,1,61000.0,OVO,2024-02-24 01:43:25,Vas Bunga Keramik
TRX271,UMKM038,0,376000.0,Tunai,2024-04-14 01:43:25,Gantungan Kunci Custom
TRX272,UMKM038,0,144000.0,Cash,2025-04-26 01:43:25,Cermin Ukir
TRX273,UMKM038,0,498000.0,,2025-05-03 01:43:25,Kaos Souvenir
TRX274,UMKM038,0,160000.0,,2024-09-20 01:43:25,Lampu Botol Kaca
TRX277,UMKM039,1,690000.0,Transfer BRI,2023-05-07 04:51:58,Rok Midi
TRX279,UMKM039,1,727000.0,Transfer BRI,2022-06-29 04:51:58,Gamis Syari
TRX280,UMKM039,0,873000.0,Transfer Mandiri,2022-10-04 04:51:58,Polo Shirt Pria
TRX281,UMKM039,1,252000.0,,2022-11-20 04:51:58,Celana Chino Pria
TRX282,UMKM039,1,485000.0,,2023-03-03 04:51:58,Celana Chino Pria
TRX283,UMKM039,1,167000.0,Transfer BCA,2023-01-24 04:51:58,Celana Chino Pria
TRX284,UMKM039,1,607000.0,Transfer BRI,2023-02-21 04:51:58,Gamis Syari
TRX285,UMKM039,0,280000.0,Transfer Mandiri,2022-11-27 04:51:58,Sandal Casual
TRX286,UMKM040,1,86000.0,,2022-11-23 02:05:10,Pupuk Organik Cair
TRX287,UMKM040,1,146000.0,Gopay,2021-09-30 02:05:10,Pupuk Organik Cair
TRX288,UMKM040,0,82000.0,Tunai,2023-03-15 02:05:10,Jagung Pipil Kering
TRX289,UMKM040,1,46000.0,Transfer BRI,2021-12-03 02:05:10,Pupuk Organik Cair
TRX290,UMKM040,0,40000.0,,2022-04-06 02:05:10,Bibit Jagung Hibrida
TRX291,UMKM040,0,94000.0,Tunai,2021-05-06 02:05:10,Bibit Cabai Rawit
TRX292,UMKM041,1,420000.0,Transfer BCA,2024-07-26 19:56:29,Paket Spa Relaksasi
TRX293,UMKM041,1,172000.0,,2024-03-04 19:56:29,Paket Spa Relaksasi
TRX294,UMKM041,0,319000.0,,2023-03-21 19:56:29,Fisioterapi
TRX295,UMKM041,1,398000.0,Gopay,2024-08-23 19:56:29,Paket Spa Relaksasi
TRX296,UMKM042,0,296000.0,,2023-09-22 08:32:41,Kopi Susu
TRX297,UMKM042,1,152000.0,Transfer BRI,2024-01-04 08:32:41,Jus Alpukat
TRX298,UMKM042,1,229000.0,Transfer BRI,2024-03-06 08:32:41,Risol Mayo
TRX299,UMKM042,1,68000.0,,2023-10-18 08:32:41,Bolu Kukus
TRX300,UMKM042,1,244000.0,,2024-02-16 08:32:41,Rendang Padang
TRX301,UMKM042,0,160000.0,Transfer Mandiri,2024-02-29 08:32:41,Kue Cubit
TRX302,UMKM042,1,211000.0,,2024-02-18 08:32:41,Pecel Lele
TRX303,UMKM042,0,144000.0,,2023-10-16 08:32:41,Makaroni Goreng
TRX304,UMKM042,0,261000.0,Cash,2024-04-19 08:32:41,Pudding Coklat
TRX305,UMKM042,1,281000.0,Transfer BCA,2023-09-27 08:32:41,Kopi Susu
TRX306,UMKM042,0,257000.0,,2024-11-07 08:32:41,Es Campur
TRX308,UMKM042,1,46000.0,Pembayaran tunai,2024-09-11 08:32:41,Risol Mayo
TRX309,UMKM042,0,25000.0,Transfer Mandiri,2024-12-09 08:32:41,Kopi Susu
TRX310,UMKM042,1,226000.0,Gopay,2024-04-05 08:32:41,Pecel Lele
TRX311,UMKM042,1,170000.0,Transfer BCA,2023-06-22 08:32:41,Pecel Lele
TRX312,UMKM042,1,133000.0,Gopay,2025-04-23 08:32:41,Es Teh Manis
TRX314,UMKM042,0,51000.0,Transfer Mandiri,2025-01-12 08:32:41,Es Campur
TRX315,UMKM043,1,1975000.0,Transfer BRI,2021-06-29 20:24:54,Aplikasi Kasir UMKM
TRX316,UMKM043,0,4812000.0,,2022-12-20 20:24:54,Scanner Barcode
TRX317,UMKM043,1,4909000.0,Gopay,2022-11-14 20:24:54,Aplikasi Kasir UMKM
TRX318,UMKM043,0,269000.0,Transfer BNI,2021-12-22 20:24:54,Maintenance Jaringan
TRX320,UMKM044,1,1426000.0,Dana,2022-11-24 21:26:30,Paket Umroh
TRX321,UMKM044,1,1732000.0,,2022-09-06 21:26:30,Paket Umroh
TRX322,UMKM044,0,601000.0,Cash,2022-09-11 21:26:30,Pengiriman Barang Kota
TRX323,UMKM044,1,1230000.0,OVO,2022-10-21 21:26:30,Paket Umroh
TRX324,UMKM044,0,132000.0,Cash,2022-04-03 21:26:30,Sewa Minibus
TRX326,UMKM044,1,1598000.0,Dana,2022-06-12 21:26:30,Paket Umroh
TRX327,UMKM045,1,94000.0,Gopay,2023-02-04 08:37:27,Snack Box Meeting
TRX328,UMKM045,0,245000.0,Transfer Mandiri,2022-02-23 08:37:27,Bolu Kukus
TRX329,UMKM045,1,270000.0,Gopay,2022-07-27 08:37:27,Snack Box Meeting
TRX330,UMKM045,1,231000.0,Gopay,2023-03-05 08:37:27,Snack Box Meeting
TRX331,UMKM045,0,147000.0,,2021-08-29 08:37:27,Wedang Jahe
TRX332,UMKM045,0,97000.0,Cash,2022-11-03 08:37:27,Es Boba
TRX333,UMKM045,1,228000.0,OVO,2022-11-05 08:37:27,Snack Box Meeting
TRX334,UMKM045,1,256000.0,Transfer BCA,2022-05-29 08:37:27,Snack Box Meeting
TRX335,UMKM045,1,51000.0,Dana,2022-01-31 08:37:27,Snack Box Meeting
TRX336,UMKM045,0,245000.0,,2022-04-29 08:37:27,Keripik Singkong Pedas
TRX337,UMKM045,1,183000.0,,2022-12-09 08:37:27,Snack Box Meeting
TRX338,UMKM045,1,214000.0,,2022-10-03 08:37:27,Snack Box Meeting
TRX339,UMKM046,1,732000.0,,2021-04-29 13:45:52,Kursus Python Pemula
TRX340,UMKM046,1,707000.0,Gopay,2022-12-22 13:45:52,Kursus Python Pemula
TRX341,UMKM046,0,1422000.0,,2021-11-20 13:45:52,Buku TOEFL
TRX342,UMKM046,0,264000.0,Cash,2021-07-25 13:45:52,Pelatihan Sales
TRX343,UMKM047,1,92000.0,Transfer BRI,2024-05-11 23:02:19,Bibit Cabai Rawit
TRX344,UMKM047,0,178000.0,,2023-07-11 23:02:19,Pupuk Urea 50kg
TRX346,UMKM047,1,263000.0,Transfer BCA,2024-01-21 23:02:19,Bibit Cabai Rawit
TRX348,UMKM047,1,215000.0,Gopay,2023-12-21 23:02:19,Beras Premium 5kg
TRX349,UMKM047,0,291000.0,Tunai,2023-11-25 23:02:19,Ubi Jalar
TRX370,UMKM049,1,119000.0,Transfer BCA,2023-06-20 01:37:24,Multivitamin Anak
TRX371,UMKM049,0,151000.0,Transfer BNI,2023-07-20 01:37:24,Fisioterapi
TRX372,UMKM049,0,296000.0,,2023-08-23 01:37:24,Refleksi Kaki
TRX373,UMKM050,0,72000.0,Transfer BNI,2024-06-10 06:34:03,Teh Tarik
TRX375,UMKM050,0,229000.0,Transfer BNI,2023-09-26 06:34:03,Mie Ayam Pangsit
TRX376,UMKM050,0,253000.0,,2024-06-02 06:34:03,Catering Pernikahan
TRX377,UMKM050,1,67000.0,Gopay,2024-10-04 06:34:03,Teh Tarik
TRX378,UMKM050,1,19000.0,Transfer BRI,2024-06-02 06:34:03,Es Boba
TRX379,UMKM050,1,127000.0,Dana,2023-09-16 06:34:03,Jus Alpukat
TRX380,UMKM050,1,86000.0,,2024-11-12 06:34:03,Pecel Lele
TRX381,UMKM050,0,164000.0,Cash,2024-01-23 06:34:03,Es Krim Lokal
TRX382,UMKM050,1,287000.0,Dana,2024-10-07 06:34:03,Teh Tarik
TRX383,UMKM050,0,12000.0,Cash,2022-12-16 06:34:03,Keripik Singkong Pedas
TRX384,UMKM050,0,287000.0,Transfer BNI,2023-12-27 06:34:03,Dadar Gulung
TRX385,UMKM051,0,467000.0,,2025-01-07 13:55:27,Jaket Bomber Pria
TRX386,UMKM051,0,145000.0,Transfer BNI,2024-05-01 13:55:27,Atasan Motif
TRX387,UMKM051,1,280000.0,,2023-08-03 13:55:27,Ikat Pinggang Pria
TRX388,UMKM051,1,911000.0,Gopay,2024-07-29 13:55:27,Ikat Pinggang Pria
TRX389,UMKM051,1,984000.0,Dana,2024-06-10 13:55:27,Kaos Anak Motif
TRX390,UMKM051,1,166000.0,OVO,2023-11-18 13:55:27,Kaos Anak Motif
TRX391,UMKM052,1,522000.0,Transfer BCA,2023-04-25 03:59:32,Setelan Anak Lucu
TRX393,UMKM052,0,713000.0,Tunai,2024-02-06 03:59:32,Kemeja Pria Casual
TRX394,UMKM052,1,902000.0,Pembayaran tunai,2022-09-01 03:59:32,Setelan Anak Lucu
TRX395,UMKM052,1,207000.0,OVO,2023-10-12 03:59:32,Celana Chino Pria
TRX396,UMKM052,1,560000.0,Pembayaran tunai,2023-02-21 03:59:32,Setelan Anak Lucu
TRX397,UMKM053,1,783000.0,,2023-07-27 16:42:17,Jaket Bomber Pria
TRX398,UMKM053,1,348000.0,Transfer BRI,2023-07-04 16:42:17,Kemeja Batik Pria
