id,umkm_id,name,category,base_price,created_at,updated_at
PRD137,UMKM050,Mie Ayam Pangsit,Makanan Berat,26000,2023-01-17 06:34:03,2023-09-13 06:34:03
PRD138,UMKM050,Teh Tarik,Minuman,33000,2022-12-15 06:34:03,2023-02-15 06:34:03
PRD139,UMKM050,Bakso Mercon,Makanan Berat,11000,2023-01-19 06:34:03,2023-05-06 06:34:03
PRD140,UMKM050,Kopi Susu Kekinian,Minuman,42000,2023-01-08 06:34:03,2023-09-03 06:34:03
PRD141,UMKM051,Ikat Pinggang Pria,Aksesoris,499000,2023-07-28 13:55:27,2023-09-28 13:55:27
PRD142,UMKM051,Celana Pende kAnak,Pakaian Anak,417000,2023-07-02 13:55:27,2023-12-05 13:55:27
PRD143,UMKM052,Setelan Anak Lucu,Pakaian Anak,498000,2022-07-13 03:59:32,2022-08-03 03:59:32
PRD144,UMKM052,Celana Chino Pria,Pakaian Pria,917000,2022-07-31 03:59:32,2023-01-15 03:59:32
PRD145,UMKM052,Ikat Pinggang Pria,Aksesoris,110000,2022-08-25 03:59:32,2022-12-31 03:59:32
PRD146,UMKM053,Kemeja Batik Pria,Pakaian Pria,258000,2023-01-24 16:42:17,2023-08-15 16:42:17
PRD147,UMKM053,Jaket Bomber Pria,Pakaian Pria,466000,2023-01-21 16:42:17,2023-06-24 16:42:17
PRD148,UMKM054,Cermin Ukir,Dekorasi Rumah,201000,2023-12-15 22:00:15,2024-03-14 22:00:15
PRD149,UMKM054,Gorden Custom,Dekorasi Rumah,91000,2023-11-11 22:00:15,2023-11-11 22:00:15
PRD150,UMKM055,Martabak Manis,Dessert,50000,2021-07-08 21:59:04,2022-02-25 21:59:04
PRD151,UMKM056,Paket Prasmanan,Catering,10000,2023-06-08 09:40:20,2024-03-16 09:40:20
PRD152,UMKM056,Bolu Kukus,Dessert,36000,2023-07-28 09:40:20,2024-03-21 09:40:20
PRD153,UMKM057,Paket Umroh,Travel,960000,2022-01-18 06:39:28,2022-03-31 06:39:28
PRD154,UMKM057,Sewa Motor Harian,Sewa Kendaraan,1286000,2021-12-06 06:39:28,2022-01-07 06:39:28
PRD155,UMKM057,Sewa Truk Ekspedisi,Sewa Kendaraan,591000,2021-12-18 06:39:28,2022-04-11 06:39:28
PRD156,UMKM058,Gudang Sewa,Logistik,350000,2021-05-06 21:55:12,2021-11-28 21:55:12
PRD157,UMKM058,Servis Rem,Servis Kendaraan,1702000,2021-05-08 21:55:12,2021-06-21 21:55:12
PRD158,UMKM058,Sewa Motor Harian,Sewa Kendaraan,1919000,2021-05-27 21:55:12,2021-10-07 21:55:12
PRD159,UMKM059,Event Launching Produk,Event Organizer,835000,2022-07-23 03:53:20,2022-08-31 03:53:20
PRD160,UMKM059,Gathering Perusahaan,Event Organizer,430000,2022-08-09 03:53:20,2022-08-09 03:53:20
PRD161,UMKM059,Desain BannerS panduk,Desain,344000,2022-06-21 03:53:20,2023-02-04 03:53:20
PRD162,UMKM060,Pijat Tradisional,Perawatan,37000,2022-12-20 08:49:18,2023-02-06 08:49:18
PRD163,UMKM060,Layanan Bidan,Jasa Medis,388000,2022-12-23 08:49:18,2023-06-11 08:49:18
PRD165,UMKM061,Sepatu Olahraga,Sepatu,264000,2024-02-07 11:04:43,2024-11-27 11:04:43
PRD166,UMKM061,Rompre Bayi,Pakaian Anak,427000,2024-01-09 11:04:43,2024-07-30 11:04:43
PRD167,UMKM061,Syal Rajut,Aksesoris,131000,2023-12-16 11:04:43,2024-06-29 11:04:43
PRD168,UMKM061,Heels Wanita,Sepatu,157000,2024-01-28 11:04:43,2024-04-26 11:04:43
PRD169,UMKM062,Dress Casual,Pakaian Wanita,102000,2021-09-06 01:20:11,2021-12-11 01:20:11
PRD170,UMKM063,Data Entry,Freelance,916000,2021-05-19 23:23:19,2022-01-03 23:23:19
PRD171,UMKM063,Konsultasi Pajak,Konsultasi,1231000,2021-04-02 23:23:19,2021-04-20 23:23:19
PRD172,UMKM063,Paket Ulang Tahun,Event Organizer,416000,2021-05-27 23:23:19,2021-09-30 23:23:19
PRD173,UMKM063,Seminra Nasional,Event Organizer,2296000,2021-05-23 23:23:19,2022-02-03 23:23:19
PRD174,UMKM064,Konsultasi Dokter Online,Jasa Medis,179000,2022-08-03 10:05:42,2023-05-12 10:05:42
PRD175,UMKM064,Jahe Merah Instan,Obat Herbal,393000,2022-08-20 10:05:42,2022-10-04 10:05:42
PRD176,UMKM064,Timbangan Badan,Alat Kesehatan,342000,2022-09-10 10:05:42,2022-11-20 10:05:42
PRD177,UMKM064,Jamu Beras Kencur,Obat Herbal,78000,2022-09-19 10:05:42,2023-06-16 10:05:42
PRD178,UMKM065,Kitchen Set Custom,Interior,6701000,2021-10-12 02:09:57,2022-07-18 02:09:57
PRD179,UMKM065,Renovasi Dapur,Renovasi,1791000,2021-10-22 02:09:57,2022-05-06 02:09:57
PRD180,UMKM065,Dekorasi Kamar Tidur,Interior,9544000,2021-10-23 02:09:57,2022-04-25 02:09:57
PRD181,UMKM065,Jual Kos-kosan,Jual Beli,5303000,2021-10-14 02:09:57,2022-06-20 02:09:57
PRD182,UMKM065,Instalasi Listirk,Renovasi,6425000,2021-10-24 02:09:57,2022-08-10 02:09:57
PRD183,UMKM066,Kursus Menjahit,Kursus Offline,1232000,2021-12-02 00:59:26,2022-06-19 00:59:26
PRD184,UMKM067,Desain Feed Instagram,Servis,116000,2022-11-25 13:46:45,2022-12-09 13:46:45
PRD185,UMKM068,Seblak Kering,Snack,15000,2021-10-02 07:19:32,2022-01-23 07:19:32
PRD186,UMKM068,Opak Angin,Snack,44000,2021-10-12 07:19:32,2021-10-12 07:19:32
PRD187,UMKM069,Bibit Jagung Hibrida,Bibit,45000,2023-03-16 04:35:45,2023-08-07 04:35:45
PRD188,UMKM070,Kursus Memasak,Kursus Offline,143000,2022-01-30 13:22:29,2022-09-29 13:22:29
PRD189,UMKM070,Les Menggambar,Bimbel,1404000,2022-02-20 13:22:29,2022-12-17 13:22:29
PRD190,UMKM071,Buku Motivasi,Buku,1272000,2021-05-20 20:11:35,2021-08-10 20:11:35
PRD191,UMKM071,Workshop Fotografi,Pelatihan,652000,2021-05-29 20:11:35,2021-09-30 20:11:35
PRD192,UMKM071,Les Privat Matematika,Bimbel,516000,2021-06-20 20:11:35,2021-07-19 20:11:35
PRD193,UMKM071,Workshop Fotografi,Pelatihan,1006000,2021-06-27 20:11:35,2021-10-18 20:11:35
PRD194,UMKM072,Aplikasi HR Sederhana,Aplikasi,2470000,2023-11-30 14:16:17,2024-06-16 14:16:17
PRD195,UMKM072,App Mobile Android,Aplikasi,316000,2023-12-31 14:16:17,2024-03-29 14:16:17
PRD196,UMKM072,Instalasi CCTV,Jasa IT,1665000,2023-11-30 14:16:17,2024-05-11 14:16:17
PRD197,UMKM073,Singkong Segar,Hasil Panen,50000,2022-04-10 18:48:30,2022-10-11 18:48:30
PRD198,UMKM073,Kacang Tanah,Hasil Panen,129000,2022-03-12 18:48:30,2022-03-27 18:48:30
PRD199,UMKM073,Pupuk Organik Cair,Pupuk,284000,2022-04-25 18:48:30,2022-10-23 18:48:30
PRD200,UMKM074,Soto Ayam Lamongan,Makanan Berat,24000,2023-08-27 17:47:18,2024-06-11 17:47:18
PRD201,UMKM074,Catering Pernikahan,Catering,15000,2023-09-01 17:47:18,2023-12-07 17:47:18
PRD202,UMKM074,Soto Ayam Lamongan,Makanan Berat,47000,2023-08-24 17:47:18,2024-05-03 17:47:18
PRD203,UMKM074,Paket Prasmanan,Catering,39000,2023-09-15 17:47:18,2023-12-14 17:47:18
PRD204,UMKM074,Es Campur  ,Minuman,37000,2023-08-27 17:47:18,2023-10-13 17:47:18
PRD205,UMKM075,Servis TV LED,Servis,1559000,2023-05-01 11:14:01,2023-08-22 11:14:01
PRD206,UMKM075,Servis TV LED,Servis,1142000,2023-04-27 11:14:01,2023-04-27 11:14:01
PRD207,UMKM075,Desain Undangan,Konsultasi,1256000,2023-05-07 11:14:01,2023-10-24 11:14:01
PRD209,UMKM076,Miniatur Rumah Kayu,Kerajinan Kayu,283000,2023-01-19 09:24:09,2023-07-13 09:24:09
PRD210,UMKM077,Klepon,Dessert,199000,2023-11-17 18:50:34,2024-05-01 18:50:34
PRD211,UMKM077,Bakso Mercon,Makanan Berat,39000,2023-11-24 18:50:34,2024-02-08 18:50:34
PRD212,UMKM077,Catering Pernikahan  ,Catering,7000,2023-11-17 18:50:34,2024-01-29 18:50:34
PRD213,UMKM078,Pembuatan Website,Jasa IT,3524000,2022-06-29 22:44:58,2023-03-26 22:44:58
PRD214,UMKM079,Jumpsuit Wanita,Pakaian Wanita,57000,2022-05-02 12:49:32,2022-06-09 12:49:32
PRD215,UMKM079,Topi Baseball,Aksesoris,394000,2022-06-12 12:49:32,2023-01-01 12:49:32
PRD216,UMKM079,Heels Wanita,Sepatu,272000,2022-06-17 12:49:32,2022-12-07 12:49:32
PRD217,UMKM080,Sewa Motor Harian,Sewa Kendaraan,619000,2022-05-25 06:49:29,2022-08-03 06:49:29
PRD218,UMKM080,Paket Honeymoon,Travel,978000,2022-04-27 06:49:29,2022-12-07 06:49:29
PRD219,UMKM080,Study Tour,Travel,1351000,2022-04-30 06:49:29,2023-01-05 06:49:29
PRD220,UMKM081,Servis Mesin Cuci,Servis,395000,2023-12-28 04:14:35,2024-03-27 04:14:35
PRD221,UMKM081,Penulisan Artikel SEO,Freelance,1649000,2023-12-26 04:14:35,2024-10-09 04:14:35
PRD222,UMKM082,Sewa Motor Harian,Sewa Kendaraan,1758000,2023-05-19 04:34:47,2023-11-18 04:34:47
PRD223,UMKM082,Tune Up Mobil,Servis Kendaraan,797000,2023-06-20 04:34:47,2023-09-18 04:34:47
PRD224,UMKM082,Balancing Roda,Servis Kendaraan,383000,2023-07-04 04:34:47,2023-12-02 04:34:47
PRD225,UMKM082,Driver Harian,Jasa Antar Jemput,316000,2023-05-19 04:34:47,2023-05-20 04:34:47
PRD226,UMKM082,Sewa Minibus,Sewa Kendaraan,808000,2023-05-23 04:34:47,2024-03-12 04:34:47
PRD227,UMKM083,Desain Banner Spanduk,Desain,818000,2023-10-11 09:58:57,2024-07-28 09:58:57
PRD228,UMKM083,Editing Video,Freelance,319000,2023-09-17 09:58:57,2023-09-17 09:58:57
PRD229,UMKM083,Konsultasi Pajak,Konsultasi,1555000,2023-10-15 09:58:57,2024-02-06 09:58:57
PRD230,UMKM084,Martabak Manis,Dessert,12000,2023-05-05 01:56:52,2023-06-28 01:56:52
PRD232,UMKM085,Tepung Mocaf  ,Produk Olahan,252000,2024-01-01 11:44:10,2024-02-10 11:44:10
PRD233,UMKM085,Kacang Tanah,Hasil Panen,98000,2024-01-15 11:44:10,2024-06-27 11:44:10
PRD234,UMKM085,Kacang Taanh,Hasil Panen,117000,2023-12-11 11:44:10,2024-01-26 11:44:10
PRD235,UMKM085,Ubi Jalar,Hasil Panen,217000,2024-01-02 11:44:10,2024-06-22 11:44:10
PRD236,UMKM086,App Pemesanna Online,Aplikasi,2743000,2021-07-22 01:43:37,2021-12-05 01:43:37
PRD237,UMKM086,Sistem Absensi Web,Software,4695000,2021-07-12 01:43:37,2021-08-16 01:43:37
PRD238,UMKM086,App Mobile Android,Aplikasi,601000,2021-06-23 01:43:37,2021-08-18 01:43:37
PRD239,UMKM086,Sistem ERP Mini,Software,4862000,2021-07-21 01:43:37,2021-08-15 01:43:37
PRD240,UMKM086,Kamera IP CCTV,IoT,4702000,2021-07-12 01:43:37,2022-02-12 01:43:37
PRD241,UMKM087,Miniatur Rumah Kayu,Kerajinan Kayu,368000,2022-01-03 08:06:07,2022-08-03 08:06:07
PRD242,UMKM087,Lampu Botol Kaca,Daur Ulang,161000,2021-12-25 08:06:07,2022-07-07 08:06:07
PRD243,UMKM088,Desain Feed Instagram,Desain,1467000,2021-06-04 03:13:59,2021-12-14 03:13:59
PRD244,UMKM088,Penerjemah Dokumen,Freelance,180000,2021-07-08 03:13:59,2022-03-11 03:13:59
PRD245,UMKM089,Smart Lock Pintu,IoT,4699000,2024-02-21 17:58:05,2024-12-13 17:58:05
PRD246,UMKM089,Sistem Absensi Web,Software,717000,2024-02-08 17:58:05,2024-06-03 17:58:05
PRD247,UMKM089,Sistem ERP Mini,Software,2320000,2024-02-17 17:58:05,2024-03-26 17:58:05
PRD248,UMKM089,Aplikasi Kasir UMKM,Software,4858000,2024-02-16 17:58:05,2024-03-05 17:58:05
PRD249,UMKM089,Maintenance Jaringan,Jasa IT,479000,2024-01-08 17:58:05,2024-06-20 17:58:05
PRD250,UMKM090,Pot Tanah Liat,Dekorasi Rumah,384000,2021-01-13 14:43:32,2021-03-08 14:43:32
PRD251,UMKM090,Pot Tanah Liat,Dekorasi Rumah,184000,2021-02-06 14:43:32,2021-05-05 14:43:32
PRD252,UMKM090,Bingkai Foto,Souvenir,374000,2021-02-09 14:43:32,2021-05-03 14:43:32
PRD253,UMKM091,Smart Lock Pintu,IoT,2357000,2022-12-12 10:35:56,2023-09-19 10:35:56
PRD254,UMKM091,Sistem Absensi Web,Software,1002000,2022-12-16 10:35:56,2023-02-02 10:35:56
PRD255,UMKM091,Smart Lock Pintu,IoT,1083000,2022-12-26 10:35:56,2023-08-31 10:35:56
PRD256,UMKM092,Baju Tidur Anak,Pakaian Anak,354000,2021-05-03 00:16:37,2021-12-10 00:16:37
PRD257,UMKM092,Kalung Emas Muda  ,Aksesoris,432000,2021-05-04 00:16:37,2021-07-28 00:16:37
PRD258,UMKM093,Jual Ruko Strategis,Sewa Properti,3303000,2023-02-11 19:09:19,2023-09-22 19:09:19
PRD259,UMKM093,Dekorasi Kamar Tidur,Interior,9251000,2023-02-21 19:09:19,2023-04-14 19:09:19
PRD260,UMKM093,Kost Putri Full Fasilitas,Kost,4510000,2023-02-04 19:09:19,2023-05-13 19:09:19
PRD262,UMKM094,Buku Motivasi,Buku,996000,2022-12-29 12:19:59,2023-10-02 12:19:59
PRD263,UMKM094,Workshop Fotografi,Pelatihan,280000,2022-12-03 12:19:59,2023-04-27 12:19:59
PRD264,UMKM094,Les Piano,Bimbel,284000,2022-12-20 12:19:59,2023-02-08 12:19:59
