id,name,sector,description,created_at,updated_at,photo_url
UMKM012,Tani Bella,Pertanian,Petani padi dan jagung yang menjual hasil panen langsung ke konsumen dan pengepul dengan harga petani bersaing.,2021-08-27 21:22:52,2021-09-05 21:22:52,https://cdn.dummyumkm.id/umkm/UMKM012.jpg
UMKM013,Edukasi Bunga,Pendidikan,"Penyedia buku pelajaran, modul, dan alat tulis kantor untuk sekolah dan lembaga pendidikan dengan harga grosir.",2021-09-06 10:20:14,2021-11-27 10:20:14,https://cdn.dummyumkm.id/umkm/UMKM013.jpg
UMKM014,Edukasi Bunga,Pendidikan,Pusat pelatihan soft skill dan leadership untuk karyawan perusahaan dengan metode workshop interaktif.,2022-09-11 17:09:54,2023-03-09 17:09:54,https://cdn.dummyumkm.id/umkm/UMKM014.jpg
UMKM015,Yuki Teknologi,Teknologi,"Perusahaan yang menyediakan layanan cloud hosting, domain, dan keamanan siber untuk bisnis di Indonesia.",2023-05-27 09:45:22,2024-06-27 09:45:22,https://cdn.dummyumkm.id/umkm/UMKM015.jpg
UMKM016,Tani Ivan,Pertanian,"Usaha budidaya tanaman hias dan bunga potong yang memasok ke florist, hotel, dan acara pernikahan.",2023-05-09 03:42:17,2024-04-30 03:42:17,
UMKM018,Layanan Zainal,Jasa,"Usaha event organizer yang menangani pernikahan, ulang tahun, seminar, dan acara perusahaan dari skala kecil hingga besar.",2022-02-16 03:51:19,2022-03-06 03:51:19,https://cdn.dummyumkm.id/umkm/UMKM018.jpg
UMKM019,Kerajinan Hendra,Kerajinan,"Usaha daur ulang sampah menjadi produk bernilai seperti tas dari plastik bekas, pot dari ban, dan lampu botol kaca.",2023-09-20 08:52:51,2024-03-11 08:52:51,https://cdn.dummyumkm.id/umkm/UMKM019.jpg
UMKM020,Vino Catering,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2022-08-09 20:31:07,2023-10-14 20:31:07,https://cdn.dummyumkm.id/umkm/UMKM020.jpg
UMKM021,Solusi IT Dewi,Teknologi,Jasa desain UI/UX dan pengembangan software custom sesuai kebutuhan klien dengan metodologi agile.,2021-01-17 21:19:18,2021-10-27 21:19:18,https://cdn.dummyumkm.id/umkm/UMKM021.jpg
UMKM022,Toko Busana Victor,Fashion,"Usaha fashion anak-anak yang menyediakan pakaian lucu, nyaman, dan tahan lama untuk bayi hingga remaja.",2022-05-14 16:57:27,2022-10-23 16:57:27,
UMKM023,Rental Aris,Transportasi,Jasa ekspedisi dan pengiriman barang antar kota dan antar pulau dengan armada truk dan pickup yang terawat.,2021-05-16 01:23:31,2022-09-08 01:23:31,https://cdn.dummyumkm.id/umkm/UMKM023.jpg
UMKM024,Layanan Yasmin,Jasa,Usaha konsultasi pajak dan keuangan untuk individu dan usaha kecil agar tertib administrasi dan hemat pajak.,2021-07-20 08:41:30,2021-12-10 08:41:30,https://cdn.dummyumkm.id/umkm/UMKM024.jpg
UMKM025,Rental Daffa,Transportasi,Jasa angkut barang pindahan rumah dan kantor dengan armada lengkap dan tenaga bongkar-muat berpengalaman.,2023-04-16 17:06:16,2023-09-20 17:06:16,https://cdn.dummyumkm.id/umkm/UMKM025.jpg
UMKM026,Studio Willy,Jasa,Usaha konsultasi pajak dan keuangan untuk individu dan usaha kecil agar tertib administrasi dan hemat pajak.,2023-12-11 16:07:46,2025-02-28 16:07:46,https://cdn.dummyumkm.id/umkm/UMKM026.jpg
UMKM028,Tani Fikri,Pertanian,Usaha pertanian organik yang memproduksi sayuran segar bebas pestisida untuk dikirim langsung ke konsumen dan restoran.,2021-04-29 11:03:30,2022-06-12 11:03:30,https://cdn.dummyumkm.id/umkm/UMKM028.jpg
UMKM029,Catur Dev,Teknologi,"Penyedia jasa pembuatan website profesional untuk perusahaan, toko online, dan portofolio personal dengan harga kompetitif.",2021-05-09 06:48:50,2022-08-19 06:48:50,https://cdn.dummyumkm.id/umkm/UMKM029.jpg
UMKM030,Kriya Kevin,Kerajinan,"Usaha lukisan dan seni rupa yang menerima pesanan lukisan custom, mural dinding, dan dekorasi kantor.",2022-06-08 07:16:01,2023-09-15 07:16:01,https://cdn.dummyumkm.id/umkm/UMKM030.jpg
UMKM031,Happy Pro,Jasa,"Jasa laundry kiloan dan satuan yang melayani antar-jemput pakaian dengan hasil bersih, rapi, dan wangi.",2023-04-28 16:05:53,2024-08-10 16:05:53,https://cdn.dummyumkm.id/umkm/UMKM031.jpg
UMKM032,Solusi IT Bambang,Teknologi,Startup yang fokus pada pengembangan sistem ERP sederhana dan terjangkau untuk usaha kecil dan menengah.,2022-01-17 11:35:37,2023-05-17 11:35:37,https://cdn.dummyumkm.id/umkm/UMKM032.jpg
UMKM033,Kriya Jihan,Kerajinan,"Pengrajin kayu yang memproduksi miniatur, jam dinding, dan aksesori rumah dengan teknik ukir tradisional.",2023-10-25 16:39:27,2024-03-08 16:39:27,https://cdn.dummyumkm.id/umkm/UMKM033.jpg
UMKM034,Dian Digital,Teknologi,"Penyedia solusi IoT (Internet of Things) untuk otomasi rumah, gudang, dan pertanian dengan perangkat buatan lokal.",2021-04-01 03:38:53,2021-07-04 03:38:53,https://cdn.dummyumkm.id/umkm/UMKM034.jpg
UMKM035,Ferdi Style,Fashion,Usaha thrift shop yang menjual pakaian bekas layak pakai pilihan dengan harga sangat terjangkau.,2022-07-06 02:07:04,2023-07-03 02:07:04,https://cdn.dummyumkm.id/umkm/UMKM035.jpg
UMKM036,Agen Mirza,Properti,"Penyedia jasa renovasi rumah dan interior yang mengerjakan pengecatan, pemasangan keramik, dan plafon gypsum.",2022-12-12 21:31:31,2022-12-14 21:31:31,
UMKM037,Pusat Belajar Syahrini,Pendidikan,"Lembaga bimbingan belajar yang menyediakan les privat dan kelompok untuk siswa SD, SMP, dan SMA semua mata pelajaran.",2021-05-14 02:33:08,2022-02-18 02:33:08,https://cdn.dummyumkm.id/umkm/UMKM037.jpg
UMKM038,Kerajinan Tora,Kerajinan,"Usaha produksi souvenir pernikahan dan ulang tahun custom seperti gantungan kunci, mug, dan tumbler sablon.",2023-10-28 01:43:25,2024-03-25 01:43:25,
UMKM039,Koleksi Mirza,Fashion,Usaha thrift shop yang menjual pakaian bekas layak pakai pilihan dengan harga sangat terjangkau.,2022-01-12 04:51:58,2022-05-19 04:51:58,https://cdn.dummyumkm.id/umkm/UMKM039.jpg
UMKM040,Tani Yanto,Pertanian,"Usaha budidaya tanaman hias dan bunga potong yang memasok ke florist, hotel, dan acara pernikahan.",2021-04-18 02:05:10,2021-04-18 02:05:10,https://cdn.dummyumkm.id/umkm/UMKM040.jpg
UMKM041,Medika Victor,Kesehatan,"Usaha katering khusus diet dan menu sehat untuk penderita diabetes, hipertensi, dan program penurunan berat badan.",2022-12-14 19:56:29,2024-02-03 19:56:29,https://cdn.dummyumkm.id/umkm/UMKM041.jpg
UMKM042,Katering Elvy,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2023-06-07 08:32:41,2023-06-30 08:32:41,https://cdn.dummyumkm.id/umkm/UMKM042.jpg
UMKM043,Guntur Digital,Teknologi,"Penyedia solusi IoT (Internet of Things) untuk otomasi rumah, gudang, dan pertanian dengan perangkat buatan lokal.",2021-04-20 20:24:54,2021-04-21 20:24:54,https://cdn.dummyumkm.id/umkm/UMKM043.jpg
UMKM044,Rental Irfan,Transportasi,Penyedia jasa logistik last-mile delivery untuk toko online dan marketplace dengan layanan same-day delivery.,2021-04-03 21:26:30,2021-06-15 21:26:30,https://cdn.dummyumkm.id/umkm/UMKM044.jpg
UMKM045,Warung Andi,Kuliner,"Menyediakan berbagai menu makanan rumahan dengan cita rasa autentik khas daerah, cocok untuk makan siang maupun makan malam keluarga.",2021-04-13 08:37:27,2021-10-23 08:37:27,https://cdn.dummyumkm.id/umkm/UMKM045.jpg
UMKM046,Kezia Academy,Pendidikan,"Bimbingan belajar khusus persiapan SBMPTN, UTBK, dan masuk sekolah kedinasan dengan pengajar berpengalaman.",2021-04-23 13:45:52,2021-11-08 13:45:52,https://cdn.dummyumkm.id/umkm/UMKM046.jpg
UMKM047,Kebun Ucok,Pertanian,Petani kopi dan kakao yang mengolah biji kopi menjadi produk siap seduh dengan kualitas specialty grade.,2023-06-20 23:02:19,2024-10-17 23:02:19,https://cdn.dummyumkm.id/umkm/UMKM047.jpg
UMKM049,IvanCare,Kesehatan,"Penyedia layanan perawatan kesehatan lansia di rumah, meliputi perawatan luka, fisioterapi, dan pendampingan harian.",2022-05-14 01:37:24,2022-07-25 01:37:24,https://cdn.dummyumkm.id/umkm/UMKM049.jpg
UMKM050,Marshanda Kitchen,Kuliner,"Kedai minuman kekinian yang menyajikan berbagai varian boba, thai tea, dan kopi susu dengan bahan segar pilihan.",2022-12-15 06:34:03,2023-10-11 06:34:03,https://cdn.dummyumkm.id/umkm/UMKM050.jpg
UMKM051,Outlet Elvy,Fashion,"Brand pakaian olahraga lokal yang memproduksi jersey, celana training, dan sepatu olahraga berkualitas tinggi.",2023-06-03 13:55:27,2024-08-05 13:55:27,https://cdn.dummyumkm.id/umkm/UMKM051.jpg
UMKM052,Butik Ussy,Fashion,"Toko aksesoris fashion wanita meliputi tas, dompet, perhiasan, dan ikat rambut dengan koleksi yang selalu diperbarui.",2022-07-02 03:59:32,2022-07-10 03:59:32,https://cdn.dummyumkm.id/umkm/UMKM052.jpg
UMKM053,Butik Rossa,Fashion,Butik pakaian branded second yang menjual produk impor berkualitas dengan harga lebih terjangkau.,2022-12-03 16:42:17,2024-03-25 16:42:17,https://cdn.dummyumkm.id/umkm/UMKM053.jpg
UMKM054,Handcraft Diaz,Kerajinan,"Pengrajin kayu yang memproduksi miniatur, jam dinding, dan aksesori rumah dengan teknik ukir tradisional.",2023-10-22 22:00:15,2025-01-05 22:00:15,https://cdn.dummyumkm.id/umkm/UMKM054.jpg
UMKM055,RM Syahrini,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2021-06-14 21:59:04,2021-10-15 21:59:04,https://cdn.dummyumkm.id/umkm/UMKM055.jpg
UMKM056,Kedai Galih,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2023-06-07 09:40:20,2024-04-16 09:40:20,https://cdn.dummyumkm.id/umkm/UMKM056.jpg
UMKM057,Julia Cargo,Transportasi,"Travel agent yang menyediakan paket wisata lokal dan mancanegara, umroh, serta ticketing pesawat dan hotel.",2021-11-30 06:39:28,2021-12-01 06:39:28,https://cdn.dummyumkm.id/umkm/UMKM057.jpg
UMKM058,Rental Rizal,Transportasi,Penyedia layanan kurir ekspres lokal untuk pengiriman dokumen dan paket dalam kota dengan jaminan keamanan.,2021-04-08 21:55:12,2021-09-29 21:55:12,https://cdn.dummyumkm.id/umkm/UMKM058.jpg
UMKM059,Jasa Rossa,Jasa,"Penyedia layanan tenaga keamanan (satpam) dan CCTV untuk perumahan, ruko, dan kawasan bisnis.",2022-06-17 03:53:20,2022-10-23 03:53:20,https://cdn.dummyumkm.id/umkm/UMKM059.jpg
UMKM060,Medika Beby,Kesehatan,"Usaha katering khusus diet dan menu sehat untuk penderita diabetes, hipertensi, dan program penurunan berat badan.",2022-12-07 08:49:18,2023-09-21 08:49:18,
UMKM061,Koleksi Acha,Fashion,"Usaha fashion anak-anak yang menyediakan pakaian lucu, nyaman, dan tahan lama untuk bayi hingga remaja.",2023-12-12 11:04:43,2025-02-23 11:04:43,https://cdn.dummyumkm.id/umkm/UMKM061.jpg
UMKM062,Lina Style,Fashion,Butik pakaian branded second yang menjual produk impor berkualitas dengan harga lebih terjangkau.,2021-09-02 01:20:11,2023-01-05 01:20:11,https://cdn.dummyumkm.id/umkm/UMKM062.jpg
UMKM063,Studio Arya,Jasa,"Jasa laundry kiloan dan satuan yang melayani antar-jemput pakaian dengan hasil bersih, rapi, dan wangi.",2021-03-31 23:23:19,2021-04-22 23:23:19,https://cdn.dummyumkm.id/umkm/UMKM063.jpg
UMKM064,Klinik Denny,Kesehatan,"Usaha produksi jamu dan herbal tradisional Indonesia seperti jahe merah, kunyit asam, dan temulawak dalam kemasan higienis.",2022-07-22 10:05:42,2023-03-04 10:05:42,https://cdn.dummyumkm.id/umkm/UMKM064.jpg
UMKM065,Prisia Realty,Properti,,2021-09-28 02:09:57,2022-07-25 02:09:57,https://cdn.dummyumkm.id/umkm/UMKM065.jpg
UMKM066,Kursus Julia,Pendidikan,"Lembaga bimbingan belajar yang menyediakan les privat dan kelompok untuk siswa SD, SMP, dan SMA semua mata pelajaran.",2021-10-10 00:59:26,2021-11-26 00:59:26,https://cdn.dummyumkm.id/umkm/UMKM066.jpg
UMKM067,Erin Service,Jasa,"Penyedia jasa desain grafis dan branding untuk UMKM, meliputi pembuatan logo, brosur, dan materi pemasaran digital.",2022-10-22 13:46:45,2023-07-23 13:46:45,https://cdn.dummyumkm.id/umkm/UMKM067.jpg
UMKM068,Iis Kitchen,Kuliner,,2021-09-28 07:19:32,2022-10-06 07:19:32,https://cdn.dummyumkm.id/umkm/UMKM068.jpg
UMKM069,Farm Jefri,Pertanian,Distributor pupuk dan pestisida pertanian yang melayani petani lokal dengan harga grosir dan pengiriman ke sawah.,2023-01-31 04:35:45,2023-07-19 04:35:45,https://cdn.dummyumkm.id/umkm/UMKM069.jpg
UMKM070,Edukasi Rossa,Pendidikan,"Platform edukasi online yang menyediakan kursus pemrograman, desain grafis, dan digital marketing berbasis video.",2022-01-03 13:22:29,2022-12-25 13:22:29,https://cdn.dummyumkm.id/umkm/UMKM070.jpg
UMKM071,Pusat Belajar Dian,Pendidikan,"Penyedia buku pelajaran, modul, dan alat tulis kantor untuk sekolah dan lembaga pendidikan dengan harga grosir.",2021-05-12 20:11:35,2021-06-30 20:11:35,https://cdn.dummyumkm.id/umkm/UMKM071.jpg
UMKM072,Cici Teknologi,Teknologi,Startup yang fokus pada pengembangan sistem ERP sederhana dan terjangkau untuk usaha kecil dan menengah.,2023-11-24 14:16:17,2024-12-03 14:16:17,https://cdn.dummyumkm.id/umkm/UMKM072.jpg
UMKM073,UD Fikri,Pertanian,Petani padi dan jagung yang menjual hasil panen langsung ke konsumen dan pengepul dengan harga petani bersaing.,2022-03-04 18:48:30,2022-10-20 18:48:30,https://cdn.dummyumkm.id/umkm/UMKM073.jpg
UMKM074,Kedai Laudya,Kuliner,"Spesialis dessert dan kue ulang tahun custom, menerima pesanan untuk berbagai acara dengan desain sesuai permintaan.",2023-07-28 17:47:18,2024-06-13 17:47:18,https://cdn.dummyumkm.id/umkm/UMKM074.jpg
UMKM075,Studio Hasan,Jasa,"Penyedia jasa desain grafis dan branding untuk UMKM, meliputi pembuatan logo, brosur, dan materi pemasaran digital.",2023-03-12 11:14:01,2023-11-09 11:14:01,https://cdn.dummyumkm.id/umkm/UMKM075.jpg
UMKM076,Souvenir Elvy,Kerajinan,"Pengrajin batik tulis dan cap khas daerah yang menerima pesanan seragam, kain meteran, dan souvenir.",2022-11-23 09:24:09,2023-01-17 09:24:09,https://cdn.dummyumkm.id/umkm/UMKM076.jpg
UMKM077,Zarry Catering,Kuliner,"Katering harian untuk karyawan dan pabrik, menyajikan menu 4 sehat 5 sempurna dengan standar kebersihan terjaga.",2023-11-16 18:50:34,2024-11-08 18:50:34,https://cdn.dummyumkm.id/umkm/UMKM077.jpg
UMKM078,Yuki Tech,Teknologi,"Developer aplikasi mobile Android dan iOS untuk berbagai kebutuhan bisnis, mulai dari e-commerce hingga sistem absensi.",2022-06-26 22:44:58,2023-10-16 22:44:58,https://cdn.dummyumkm.id/umkm/UMKM078.jpg
UMKM079,Outlet Luthfi,Fashion,"Usaha konveksi yang menerima pesanan seragam sekolah, kantor, dan komunitas dalam jumlah besar maupun kecil.",2022-04-18 12:49:32,2023-06-16 12:49:32,https://cdn.dummyumkm.id/umkm/UMKM079.jpg
UMKM080,Trans Sheila,Transportasi,Usaha ojek online dan antar-jemput sekolah berbasis aplikasi yang melayani area kota dan pinggiran kota.,2022-04-25 06:49:29,2023-06-27 06:49:29,
UMKM081,Ika Service,Jasa,Usaha konsultasi pajak dan keuangan untuk individu dan usaha kecil agar tertib administrasi dan hemat pajak.,2023-12-14 04:14:35,2025-02-13 04:14:35,https://cdn.dummyumkm.id/umkm/UMKM081.jpg
UMKM082,Cinta Logistik,Transportasi,,2023-05-05 04:34:47,2024-07-25 04:34:47,https://cdn.dummyumkm.id/umkm/UMKM082.jpg
UMKM083,Beby Service,Jasa,Penyedia layanan konsultasi bisnis dan manajemen untuk UMKM yang ingin berkembang dan memperluas pasar.,2023-08-24 09:58:57,2024-05-23 09:58:57,https://cdn.dummyumkm.id/umkm/UMKM083.jpg
UMKM084,Yuki Kitchen,Kuliner,"Usaha makanan beku (frozen food) rumahan seperti dimsum, siomay, dan nugget dengan bahan halal dan tanpa pengawet.",2023-04-02 01:56:52,2023-06-10 01:56:52,https://cdn.dummyumkm.id/umkm/UMKM084.jpg
UMKM085,Agro Bella,Pertanian,Usaha pertanian organik yang memproduksi sayuran segar bebas pestisida untuk dikirim langsung ke konsumen dan restoran.,2023-11-20 11:44:10,2023-12-15 11:44:10,
UMKM086,Studio Digital Jaka,Teknologi,"Perusahaan yang menyediakan layanan cloud hosting, domain, dan keamanan siber untuk bisnis di Indonesia.",2021-05-29 01:43:37,2021-11-18 01:43:37,https://cdn.dummyumkm.id/umkm/UMKM086.jpg
UMKM087,Handcraft Diaz,Kerajinan,Usaha pembuatan boneka dan mainan edukatif anak berbahan kain flannel dan kayu tanpa bahan berbahaya.,2021-11-12 08:06:07,2021-12-04 08:06:07,https://cdn.dummyumkm.id/umkm/UMKM087.jpg
UMKM088,Andi Solution,Jasa,Usaha konsultasi pajak dan keuangan untuk individu dan usaha kecil agar tertib administrasi dan hemat pajak.,2021-05-17 03:13:59,2022-04-07 03:13:59,https://cdn.dummyumkm.id/umkm/UMKM088.jpg
UMKM089,Zaskia Digital,Teknologi,"Perusahaan IT yang menyediakan layanan instalasi jaringan, maintenance server, dan IT support untuk bisnis skala menengah.",2024-01-05 17:58:05,2024-02-15 17:58:05,https://cdn.dummyumkm.id/umkm/UMKM089.jpg
UMKM090,Kriya Via,Kerajinan,"Usaha kerajinan tangan berbahan rotan dan bambu yang memproduksi furnitur, tas, dan dekorasi rumah bernilai ekspor.",2021-01-11 14:43:32,2022-02-06 14:43:32,
UMKM091,Ika Teknologi,Teknologi,Startup teknologi yang mengembangkan aplikasi manajemen kasir dan inventaris khusus untuk UMKM di seluruh Indonesia.,2022-11-16 10:35:56,2022-12-01 10:35:56,https://cdn.dummyumkm.id/umkm/UMKM091.jpg
UMKM092,Cinta Style,Fashion,"Butik pakaian wanita muslimah yang menyediakan gamis, hijab, dan aksesoris dengan model terkini dan bahan premium.",2021-03-23 00:16:37,2022-03-10 00:16:37,https://cdn.dummyumkm.id/umkm/UMKM092.jpg
UMKM093,Andien Estate,Properti,Jasa arsitek dan kontraktor yang mengerjakan pembangunan rumah tinggal dan ruko sesuai anggaran dan desain klien.,2023-01-13 19:09:19,2023-07-22 19:09:19,https://cdn.dummyumkm.id/umkm/UMKM093.jpg
UMKM094,Kursus Hana,Pendidikan,,2022-12-01 12:19:59,2023-05-10 12:19:59,https://cdn.dummyumkm.id/umkm/UMKM094.jpg
UMKM095,Kerajinan Kirana,Kerajinan,"Pengrajin batik tulis dan cap khas daerah yang menerima pesanan seragam, kain meteran, dan souvenir.",2023-05-12 02:08:48,2023-09-22 02:08:48,https://cdn.dummyumkm.id/umkm/UMKM095.jpg
UMKM096,Outlet Andi,Fashion,,2022-02-23 15:21:40,2022-07-20 15:21:40,https://cdn.dummyumkm.id/umkm/UMKM096.jpg
UMKM097,UD Catur,Pertanian,"Usaha budidaya tanaman hias dan bunga potong yang memasok ke florist, hotel, dan acara pernikahan.",2023-03-31 19:27:56,2023-12-12 19:27:56,https://cdn.dummyumkm.id/umkm/UMKM097.jpg
UMKM098,Herbal Naufal,Kesehatan,"Klinik kesehatan umum yang melayani konsultasi dokter, pemeriksaan laboratorium, dan layanan rawat jalan harian.",2022-04-04 20:43:03,2022-04-17 20:43:03,https://cdn.dummyumkm.id/umkm/UMKM098.jpg
UMKM099,RM Mirza,Kuliner,"Bisnis food truck yang berkeliling menjajakan burger, hotdog, dan minuman segar di area perkantoran dan kampus.",2021-08-15 22:57:32,2022-07-06 22:57:32,https://cdn.dummyumkm.id/umkm/UMKM099.jpg
UMKM101,Ekspedisi Bella,Transportasi,"Bengkel spesialis servis mobil dan motor yang menangani tune up, ganti oli, dan perbaikan mesin secara profesional.",2021-11-29 07:20:41,2022-06-06 07:20:41,https://cdn.dummyumkm.id/umkm/UMKM101.jpg
UMKM102,Maya Kitchen,Kuliner,"Kedai minuman kekinian yang menyajikan berbagai varian boba, thai tea, dan kopi susu dengan bahan segar pilihan.",2023-12-19 10:58:35,2024-09-26 10:58:35,https://cdn.dummyumkm.id/umkm/UMKM102.jpg
UMKM103,Nina Academy,Pendidikan,Pusat pelatihan soft skill dan leadership untuk karyawan perusahaan dengan metode workshop interaktif.,2021-02-07 03:49:18,2021-12-18 03:49:18,https://cdn.dummyumkm.id/umkm/UMKM103.jpg
UMKM104,Farm Ilham,Pertanian,Petani padi dan jagung yang menjual hasil panen langsung ke konsumen dan pengepul dengan harga petani bersaing.,2022-11-07 22:14:44,2023-09-28 22:14:44,https://cdn.dummyumkm.id/umkm/UMKM104.jpg
UMKM105,Luthfi Catering,Kuliner,"Bisnis food truck yang berkeliling menjajakan burger, hotdog, dan minuman segar di area perkantoran dan kampus.",2022-01-06 14:16:42,2022-07-25 14:16:42,https://cdn.dummyumkm.id/umkm/UMKM105.jpg
UMKM106,Klinik Arya,Kesehatan,"Penyedia layanan perawatan kesehatan lansia di rumah, meliputi perawatan luka, fisioterapi, dan pendampingan harian.",2023-11-07 01:24:57,2024-03-19 01:24:57,https://cdn.dummyumkm.id/umkm/UMKM106.jpg
UMKM107,RM Vino,Kuliner,"Katering harian untuk karyawan dan pabrik, menyajikan menu 4 sehat 5 sempurna dengan standar kebersihan terjaga.",2021-08-16 06:18:32,2022-12-05 06:18:32,https://cdn.dummyumkm.id/umkm/UMKM107.jpg
UMKM108,Butik Lesty,Fashion,Butik pakaian branded second yang menjual produk impor berkualitas dengan harga lebih terjangkau.,2023-10-30 22:25:21,2024-05-21 22:25:21,https://cdn.dummyumkm.id/umkm/UMKM108.jpg
UMKM109,Surya Fashion,Fashion,"Brand pakaian olahraga lokal yang memproduksi jersey, celana training, dan sepatu olahraga berkualitas tinggi.",2021-11-01 07:20:57,2022-04-01 07:20:57,https://cdn.dummyumkm.id/umkm/UMKM109.jpg
UMKM110,Zaskia Style,Fashion,"Brand pakaian olahraga lokal yang memproduksi jersey, celana training, dan sepatu olahraga berkualitas tinggi.",2022-06-19 06:55:56,2022-09-08 06:55:56,https://cdn.dummyumkm.id/umkm/UMKM110.jpg
UMKM111,Kerajinan Khoirul,Kerajinan,"Kelompok pengrajin anyaman pandan dan mendong yang memproduksi tikar, topi, dan tas untuk oleh-oleh wisata.",2022-11-10 21:04:33,2024-01-16 21:04:33,https://cdn.dummyumkm.id/umkm/UMKM111.jpg
UMKM112,Dapur Via,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2021-04-06 21:53:31,2022-06-27 21:53:31,https://cdn.dummyumkm.id/umkm/UMKM112.jpg
UMKM113,Hafiz Kitchen,Kuliner,"Usaha katering spesialis nasi box dan prasmanan untuk acara pernikahan, ulang tahun, dan rapat kantor dengan harga terjangkau.",2023-10-22 11:10:29,2025-02-17 11:10:29,
UMKM114,Rental Aris,Transportasi,Penyedia jasa logistik last-mile delivery untuk toko online dan marketplace dengan layanan same-day delivery.,2021-02-09 15:49:19,2022-02-13 15:49:19,
UMKM115,Ekspedisi Xander,Transportasi,"Bengkel spesialis servis mobil dan motor yang menangani tune up, ganti oli, dan perbaikan mesin secara profesional.",2023-06-26 02:18:35,2024-07-03 02:18:35,https://cdn.dummyumkm.id/umkm/UMKM115.jpg
UMKM116,Jasa Chacha,Jasa,"Usaha freelance penulisan konten, copywriting, dan manajemen media sosial untuk berbagai brand dan perusahaan.",2021-10-16 15:37:57,2022-03-13 15:37:57,https://cdn.dummyumkm.id/umkm/UMKM116.jpg
UMKM117,Sehat Kezia,Kesehatan,"Klinik kesehatan umum yang melayani konsultasi dokter, pemeriksaan laboratorium, dan layanan rawat jalan harian.",2021-10-07 09:37:54,2022-01-30 09:37:54,https://cdn.dummyumkm.id/umkm/UMKM117.jpg
UMKM118,Butik Satria,Fashion,Toko sepatu dan sandal lokal yang mengutamakan kenyamanan dan kualitas bahan dengan desain kekinian.,2023-06-23 11:15:28,2023-12-09 11:15:28,
UMKM119,Butik Eka,Fashion,,2021-11-07 02:16:12,2022-04-04 02:16:12,https://cdn.dummyumkm.id/umkm/UMKM119.jpg
UMKM120,Panji Pro,Jasa,"Jasa servis elektronik rumah tangga meliputi AC, kulkas, mesin cuci, dan televisi dengan teknisi berpengalaman.",2024-01-14 01:14:20,2025-03-10 01:14:20,
